               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.071059,            0.023299,             0.06858,          2.3117e-05,             0.02244,          1.5858e-05,          2.4805e-06,            0.097091,           0.0086719,            0.069008,            0.049598,           0.0055983,           0.0055983
                  57,            0.069157,             0.02465,            0.068915,          0.00012747,             0.12248,           0.0002498,          4.0886e-05,            0.081259,           0.0094775,            0.068974,            0.048698,           0.0056982,           0.0056982
                  58,            0.069704,            0.023593,            0.068772,          1.5283e-05,            0.025926,          1.0746e-05,          2.6336e-06,            0.097169,           0.0086719,            0.068939,            0.047798,           0.0057981,           0.0057981
                  59,            0.068507,            0.024094,            0.068719,          0.00018278,              0.1498,          0.00035667,          5.5519e-05,            0.080753,           0.0095068,            0.068974,            0.046898,            0.005898,            0.005898
                  60,             0.06807,             0.02404,            0.068772,          4.9623e-05,            0.038214,          3.3115e-05,          5.0868e-06,            0.094484,            0.008811,            0.068974,            0.045998,           0.0059979,           0.0059979
                  61,            0.068361,            0.024258,            0.068767,          0.00012304,             0.11486,          0.00028761,          4.0903e-05,            0.081344,           0.0095508,            0.068974,            0.045098,           0.0060978,           0.0060978
                  62,            0.066418,            0.024254,             0.06835,           3.063e-05,            0.026885,           2.096e-05,          3.8415e-06,            0.094764,           0.0089062,            0.068939,            0.044198,           0.0061977,           0.0061977
                  63,            0.067688,            0.025037,            0.068576,           0.0002395,             0.18336,           0.0004503,          7.7967e-05,            0.079403,           0.0097046,            0.069008,            0.043298,           0.0062976,           0.0062976
                  64,            0.065863,            0.023458,             0.06868,          6.0961e-05,            0.038214,          4.0443e-05,          5.8708e-06,            0.094604,           0.0089795,            0.068939,            0.042397,           0.0063974,           0.0063974
                  65,            0.067173,            0.025172,            0.068742,          0.00024462,             0.17965,           0.0005282,          9.0636e-05,            0.077686,           0.0099097,            0.068905,            0.041497,           0.0064973,           0.0064973
                  66,            0.065353,            0.023519,            0.068624,          5.9063e-05,            0.041917,          4.1276e-05,          6.7592e-06,            0.092389,           0.0091846,            0.068939,            0.040597,           0.0065972,           0.0065972
                  67,            0.065417,            0.024167,            0.068418,          0.00036309,             0.19562,          0.00048828,          7.5157e-05,            0.077679,           0.0099902,            0.068974,            0.039697,           0.0066971,           0.0066971
                  68,            0.066954,            0.023443,            0.068954,           5.507e-05,            0.038214,          3.9443e-05,          6.6843e-06,            0.092682,           0.0092432,            0.068939,            0.038797,           0.0067969,           0.0067969
                  69,            0.066132,            0.024787,            0.068645,          0.00025016,             0.17573,          0.00042864,          6.9955e-05,            0.079421,           0.0099756,            0.068939,            0.037897,           0.0068968,           0.0068968
                  70,            0.065055,             0.02455,            0.068538,          2.4236e-05,             0.03037,           1.735e-05,          2.7923e-06,             0.09428,           0.0092725,            0.068974,            0.036997,           0.0069966,           0.0069966
                  71,            0.066103,            0.024411,            0.068542,          0.00035612,              0.1719,           0.0003776,          5.1051e-05,            0.081377,           0.0099902,            0.068939,            0.036097,           0.0070965,           0.0070965
                  72,            0.064457,            0.024415,            0.068501,          5.3909e-05,            0.045621,          3.6159e-05,          6.6551e-06,            0.091553,           0.0094995,            0.068974,            0.035196,           0.0071964,           0.0071964
                  73,            0.063195,            0.025239,            0.068431,          0.00030332,             0.18376,          0.00044145,          7.1662e-05,             0.07872,            0.010239,            0.068939,            0.034296,           0.0072962,           0.0072962
                  74,             0.06343,             0.02405,            0.068517,          4.0474e-05,            0.031242,          2.7379e-05,          5.4164e-06,            0.090414,           0.0097046,            0.069008,            0.033396,            0.007396,            0.007396
                  75,            0.063586,            0.024336,            0.068453,          0.00029558,             0.18039,          0.00054235,          8.3247e-05,            0.077692,            0.010408,            0.068939,            0.032496,           0.0074959,           0.0074959
                  76,            0.063348,            0.023621,            0.068104,            3.76e-05,            0.031765,          2.6659e-05,          4.4163e-06,             0.09079,           0.0098071,            0.068939,            0.031596,           0.0075957,           0.0075957
                  77,            0.061783,            0.024398,            0.068784,          0.00026519,             0.18134,          0.00051451,          7.3239e-05,            0.078874,             0.01043,            0.068939,            0.030696,           0.0076955,           0.0076955
                  78,            0.059916,            0.025449,            0.068402,          6.3943e-05,            0.051983,          5.7453e-05,          1.0149e-05,            0.085959,            0.010173,            0.068939,            0.029795,           0.0077954,           0.0077954
                  79,            0.058728,             0.02636,            0.068643,          0.00030326,             0.20707,          0.00065126,          9.9607e-05,            0.075859,            0.010745,            0.068974,            0.028895,           0.0078952,           0.0078952
                  80,            0.063252,            0.024233,            0.068754,          9.8856e-05,            0.080566,          9.8519e-05,          1.4755e-05,            0.084347,            0.010422,            0.068939,            0.027995,            0.007995,            0.007995
                  81,            0.059383,            0.025657,            0.068188,           0.0002341,             0.16695,          0.00034666,          5.1798e-05,            0.079385,            0.010752,            0.068939,            0.027095,           0.0080948,           0.0080948
                  82,            0.059488,            0.025854,            0.068562,          0.00010513,            0.088932,          9.6425e-05,          1.5205e-05,            0.084033,             0.01062,            0.068939,            0.026195,           0.0081946,           0.0081946
                  83,            0.059655,            0.023948,            0.068386,          0.00032776,             0.22179,          0.00060836,          0.00011112,            0.074253,            0.011228,            0.068939,            0.025294,           0.0082944,           0.0082944
                  84,            0.059441,            0.024636,            0.068161,            0.000137,              0.1119,          0.00016538,          2.4809e-05,            0.082419,            0.010913,            0.068939,            0.024394,           0.0083942,           0.0083942
                  85,            0.058618,            0.025447,            0.068474,           0.0003276,             0.22253,          0.00060384,          0.00011472,            0.073034,            0.011477,            0.068974,            0.023494,            0.008494,            0.008494
                  86,            0.059387,            0.024617,             0.06833,          0.00018596,             0.14154,          0.00022319,          3.6659e-05,            0.080026,            0.011279,            0.068939,            0.022594,           0.0085938,           0.0085938
                  87,             0.05758,            0.025198,            0.068294,          0.00030348,             0.21004,          0.00048518,          8.6348e-05,            0.074753,            0.011667,            0.068974,            0.021694,           0.0086936,           0.0086936
                  88,            0.060089,            0.024016,            0.067669,          0.00035348,             0.23439,          0.00055335,          0.00010449,            0.073079,             0.01177,            0.068939,            0.020793,           0.0087933,           0.0087933
                  89,            0.056687,              0.0241,            0.067851,          0.00025965,             0.18856,          0.00041072,           7.049e-05,            0.076486,            0.011843,            0.068939,            0.019893,           0.0088931,           0.0088931
                  90,            0.058473,             0.02465,            0.068027,          0.00035856,              0.2347,          0.00056973,          0.00011216,            0.072126,            0.012092,            0.068939,            0.018993,           0.0089929,           0.0089929
                  91,             0.05727,            0.024656,            0.067697,          0.00026318,             0.18834,          0.00041795,          7.8195e-05,            0.074278,            0.012195,            0.068939,            0.018093,           0.0090926,           0.0090926
                  92,            0.058221,            0.023758,            0.067452,          0.00042427,             0.26603,          0.00067822,           0.0001449,            0.069961,            0.012429,            0.068974,            0.017192,           0.0091924,           0.0091924
                  93,            0.056627,            0.023253,            0.068283,          0.00036303,             0.23534,          0.00062493,          0.00013834,            0.070692,             0.01251,            0.068974,            0.016292,           0.0092921,           0.0092921
                  94,            0.054877,            0.024708,            0.067907,          0.00046808,             0.27788,          0.00071962,          0.00015279,            0.069911,            0.012744,            0.068974,            0.015392,           0.0093919,           0.0093919
                  95,             0.05714,            0.023452,            0.067223,          0.00032755,             0.21862,          0.00059948,          0.00013141,            0.070959,            0.012927,            0.068974,            0.014492,           0.0094916,           0.0094916
                  96,            0.055193,            0.024511,            0.067528,          0.00052222,             0.28973,          0.00077126,          0.00016806,            0.068149,            0.013008,            0.068939,            0.013591,           0.0095914,           0.0095914
                  97,            0.056066,            0.024837,            0.067122,          0.00036139,             0.21702,          0.00053808,          0.00011897,            0.071842,            0.013103,            0.068939,            0.012691,           0.0096911,           0.0096911
                  98,            0.054641,            0.025762,            0.067616,          0.00055115,             0.27778,          0.00069518,          0.00016679,            0.067192,            0.013242,            0.068939,            0.011791,           0.0097908,           0.0097908
                  99,            0.055899,            0.023688,            0.066438,          0.00038838,             0.19988,          0.00044243,          9.6775e-05,            0.072762,            0.013337,            0.068905,            0.010891,           0.0098905,           0.0098905
                 100,            0.056975,            0.023432,            0.066851,          0.00059407,             0.27354,          0.00062249,          0.00014252,            0.066971,            0.013542,            0.068939,           0.0099902,           0.0099902,           0.0099902
                 101,            0.053561,            0.023839,            0.066762,          0.00045029,             0.20855,          0.00046927,          9.8996e-05,            0.071414,            0.013616,            0.068905,           0.0099902,           0.0099902,           0.0099902
                 102,            0.055283,            0.023796,            0.066501,          0.00062118,             0.27672,          0.00062957,          0.00016808,             0.06429,            0.013879,            0.068939,             0.00999,             0.00999,             0.00999
                 103,            0.054876,             0.02329,            0.066419,          0.00070538,             0.29384,          0.00070658,           0.0001523,            0.068405,            0.014004,            0.068905,           0.0099898,           0.0099898,           0.0099898
                 104,            0.054636,            0.023291,            0.065997,          0.00098895,              0.3836,           0.0010071,          0.00027781,            0.062429,            0.014414,            0.068939,           0.0099896,           0.0099896,           0.0099896
                 105,            0.052139,            0.022853,            0.066576,          0.00085325,              0.3331,          0.00085796,          0.00018384,            0.068142,            0.014297,            0.068905,           0.0099894,           0.0099894,           0.0099894
                 106,              0.0548,            0.022669,            0.066068,           0.0010063,             0.38444,           0.0010834,          0.00030608,            0.061314,            0.014385,            0.068905,           0.0099892,           0.0099892,           0.0099892
                 107,            0.052154,            0.022553,             0.06675,           0.0010762,             0.40072,           0.0011209,          0.00027331,            0.066543,              0.0147,            0.068905,            0.009989,            0.009989,            0.009989
                 108,            0.054194,             0.02283,             0.06698,           0.0013634,             0.47354,           0.0014794,          0.00041735,             0.06098,            0.014971,            0.068905,           0.0099888,           0.0099888,           0.0099888
