               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.072252,            0.023352,            0.069163,          3.1405e-05,            0.049455,          6.6554e-05,          1.0865e-05,            0.087539,           0.0093604,            0.069008,            0.057699,            0.004699,            0.004699
                  48,            0.072025,            0.023854,            0.069164,          8.1046e-06,            0.011329,          8.5222e-06,          2.3143e-06,            0.090234,           0.0092212,            0.068974,            0.056799,           0.0047989,           0.0047989
                  49,            0.071359,            0.023176,            0.069174,          5.6336e-05,            0.091503,          0.00014374,          2.2725e-05,            0.083864,           0.0095361,            0.068939,            0.055899,           0.0048989,           0.0048989
                  50,            0.073284,            0.023946,            0.069218,          1.3545e-05,            0.023094,          1.5338e-05,          2.7549e-06,            0.092003,           0.0091479,            0.068974,            0.054999,           0.0049988,           0.0049988
                  51,            0.072051,            0.022564,            0.069078,          7.2397e-05,             0.11438,          0.00015407,          2.9695e-05,            0.078259,           0.0098071,            0.068974,            0.054099,           0.0050987,           0.0050987
                  52,            0.073287,            0.023058,            0.068881,          4.1901e-05,            0.045316,          3.6734e-05,          6.7986e-06,            0.091371,           0.0091992,            0.069008,            0.053199,           0.0051986,           0.0051986
                  53,            0.071262,            0.023245,            0.068994,          0.00010235,             0.11656,          0.00017307,          2.7385e-05,            0.075217,           0.0099902,            0.068974,            0.052299,           0.0052985,           0.0052985
                  54,             0.07303,             0.02251,            0.069173,          2.4099e-05,            0.026797,           2.171e-05,          4.3203e-06,            0.090411,           0.0092212,            0.069042,            0.051398,           0.0053985,           0.0053985
                  55,            0.070076,            0.023361,            0.068953,          0.00021004,             0.17024,          0.00031298,          6.1875e-05,            0.073651,           0.0099756,            0.069008,            0.050498,           0.0054984,           0.0054984
                  56,            0.071956,            0.023034,            0.068875,           1.961e-05,            0.026797,          2.4746e-05,          4.0529e-06,            0.089756,           0.0091992,            0.068974,            0.049598,           0.0055983,           0.0055983
                  57,            0.070922,            0.024137,            0.069053,          0.00023034,              0.1858,          0.00035188,          5.9464e-05,            0.075894,           0.0098657,            0.069008,            0.048698,           0.0056982,           0.0056982
                  58,            0.071127,             0.02319,            0.068866,          2.2464e-05,            0.023617,          1.8965e-05,          3.7068e-06,            0.089531,           0.0092578,            0.068974,            0.047798,           0.0057981,           0.0057981
                  59,            0.070661,            0.023528,             0.06891,          0.00019646,             0.16675,          0.00033414,          6.5018e-05,            0.074852,           0.0099756,            0.069008,            0.046898,            0.005898,            0.005898
                  60,            0.069159,            0.023665,               0.069,          3.6248e-05,            0.035904,          4.9345e-05,          7.2517e-06,            0.087467,           0.0094116,            0.069008,            0.045998,           0.0059979,           0.0059979
                  61,            0.070865,            0.023604,            0.069251,          0.00022361,             0.19163,          0.00044773,          8.2141e-05,             0.07318,            0.010071,            0.069042,            0.045098,           0.0060978,           0.0060978
                  62,            0.069024,            0.023574,             0.06866,          4.8893e-05,            0.059303,          7.0559e-05,          1.0853e-05,            0.085577,           0.0095654,            0.069008,            0.044198,           0.0061977,           0.0061977
                  63,            0.069879,            0.024343,            0.068978,          0.00028946,             0.22349,          0.00055276,          0.00011233,            0.074127,            0.010166,            0.069008,            0.043298,           0.0062976,           0.0062976
                  64,            0.065926,            0.023362,            0.068971,           9.829e-05,            0.094858,          0.00014648,          2.6602e-05,            0.083691,           0.0097192,            0.069042,            0.042397,           0.0063974,           0.0063974
                  65,            0.068019,            0.024795,            0.069037,          0.00037305,             0.27904,          0.00084151,          0.00018028,            0.070582,            0.010444,            0.069042,            0.041497,           0.0064973,           0.0064973
                  66,            0.067475,            0.022905,            0.069077,          0.00027854,             0.17181,          0.00036375,          6.2659e-05,            0.081728,           0.0099316,            0.069008,            0.040597,           0.0065972,           0.0065972
                  67,            0.065544,            0.023976,            0.068829,          0.00059378,             0.34349,             0.00118,          0.00026654,            0.069468,            0.010591,            0.069077,            0.039697,           0.0066971,           0.0066971
                  68,            0.068345,            0.022977,            0.068807,          0.00031758,             0.18758,          0.00045191,          9.3483e-05,            0.079655,            0.010188,            0.069008,            0.038797,           0.0067969,           0.0067969
                  69,            0.066667,            0.024472,            0.068994,          0.00068816,             0.36148,           0.0013253,          0.00027826,            0.070497,            0.010686,            0.069077,            0.037897,           0.0068968,           0.0068968
                  70,            0.065818,            0.024171,            0.068976,          0.00037217,              0.2061,          0.00052018,          0.00010334,            0.080663,            0.010334,            0.069077,            0.036997,           0.0069966,           0.0069966
                  71,             0.06805,             0.02374,            0.068809,          0.00064584,             0.35015,           0.0014451,          0.00029221,            0.071734,            0.010833,            0.069077,            0.036097,           0.0070965,           0.0070965
                  72,            0.064936,            0.024036,            0.068799,          0.00045286,              0.2241,          0.00064529,          0.00012215,            0.078289,            0.010642,            0.069077,            0.035196,           0.0071964,           0.0071964
                  73,             0.06426,            0.024694,             0.06903,          0.00084872,             0.39704,           0.0018583,          0.00041406,            0.069292,            0.011162,            0.069008,            0.034296,           0.0072962,           0.0072962
                  74,            0.065808,            0.023263,            0.068901,          0.00052418,              0.2766,           0.0010486,          0.00019957,            0.076734,            0.010964,            0.069042,            0.033396,            0.007396,            0.007396
                  75,            0.064365,            0.023905,            0.069185,          0.00099844,             0.43333,           0.0024424,          0.00060593,             0.06585,            0.011594,            0.069077,            0.032496,           0.0074959,           0.0074959
                  76,            0.064204,            0.023125,            0.068805,           0.0007918,             0.34275,           0.0014407,           0.0002551,            0.074271,            0.011338,            0.069077,            0.031596,           0.0075957,           0.0075957
                  77,            0.063208,            0.023845,            0.068965,           0.0012526,             0.48593,           0.0030642,          0.00074313,            0.066163,            0.011858,            0.069111,            0.030696,           0.0076955,           0.0076955
                  78,            0.062883,            0.024353,            0.068766,           0.0009078,             0.39407,           0.0019313,          0.00037451,            0.071512,            0.011748,            0.069145,            0.029795,           0.0077954,           0.0077954
                  79,            0.060812,            0.025572,            0.068868,           0.0011161,             0.44593,           0.0029921,            0.000742,            0.066133,            0.012122,            0.069111,            0.028895,           0.0078952,           0.0078952
                  80,            0.063174,            0.024011,            0.069014,          0.00096889,              0.4237,           0.0024148,          0.00047531,            0.070028,            0.012166,            0.069145,            0.027995,            0.007995,            0.007995
                  81,            0.060316,            0.025167,            0.068774,           0.0011313,             0.48667,           0.0040306,           0.0011097,            0.063984,            0.012656,            0.069145,            0.027095,           0.0080948,           0.0080948
                  82,            0.063263,            0.024621,            0.068896,          0.00081133,             0.40667,           0.0027749,          0.00053405,            0.071102,            0.012554,             0.06918,            0.026195,           0.0081946,           0.0081946
                  83,            0.061624,            0.023159,            0.068676,           0.0011289,             0.49111,           0.0048036,           0.0012391,            0.064952,            0.012971,            0.069145,            0.025294,           0.0082944,           0.0082944
                  84,            0.059675,             0.02416,            0.068761,           0.0010458,             0.45926,           0.0044782,          0.00087546,            0.068345,             0.01311,             0.06918,            0.024394,           0.0083942,           0.0083942
                  85,            0.061418,            0.024437,             0.06918,           0.0011804,             0.48667,           0.0073168,           0.0018868,            0.066314,            0.013403,            0.069248,            0.023494,            0.008494,            0.008494
                  86,            0.059085,            0.024318,            0.068728,           0.0011322,             0.48593,           0.0049741,             0.00106,            0.065862,            0.013381,            0.069214,            0.022594,           0.0085938,           0.0085938
                  87,            0.060829,            0.024124,            0.068939,           0.0010641,             0.46815,           0.0055181,           0.0012184,             0.06837,             0.01344,             0.06918,            0.021694,           0.0086936,           0.0086936
                  88,            0.056899,            0.024266,            0.068597,           0.0010524,             0.47259,            0.003889,          0.00098126,            0.064416,            0.013901,            0.069214,            0.020793,           0.0087933,           0.0087933
                  89,            0.057322,            0.023557,            0.068817,           0.0011958,             0.47259,            0.004892,           0.0010793,             0.06968,            0.013828,            0.069214,            0.019893,           0.0088931,           0.0088931
